Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
Yan Kit Playfield,5 Yan Kit Rd Singapore088261,N/A,Central,088261,1.27666695995771,103.842014338072
Yangzheng Primary School Hall,15 Serangoon Avenue 3 Singapore 556108,School Sport Hall,Northeast,556108,1.36693830877349,103.894114899795
Yio Chu Kang ActiveSG Gym,200 Ang Mo Kio Avenue 9 Singapore 569770,Gym,North,569770,1.36100845388431,103.87391992528
Yio Chu Kang Beach Volleyball Courts,202 Ang Mo Kio Avenue 9 Singapore 569771,N/A,North,569771,1.36100845388431,103.87391992528
Yio Chu Kang Primary School Hall,1 Hougang Street 51 Singapore 538720,School Sport Hall,Northeast,538720,1.37775890093367,103.741832917421
Yio Chu Kang Secondary School Field,3063 Ang Mo Kio Avenue 5 Singapore 569868,School Field,North,569868,1.38333422637073,103.75510327583
Yio Chu Kang Secondary School Hall,3063 Ang Mo Kio Avenue 5 Singapore 569868,School Sport Hall,North,569868,1.38333422637073,103.75510327583
Yio Chu Kang Sport Centre,200 Ang Mo Kio Avenue 9 Singapore 569770,Sport Centre,North,569770,1.38227243947685,103.845767848209
Yio Chu Kang Sport Hall,214 Ang Mo Kio Avenue 9 Singapore 569780,Sport Hall,North,569780,1.38362584863622,103.845867076799
Yio Chu Kang Squash Centre,200 Ang Mo Kio Avenue 9 Singapore 569770,N/A,North,569770,1.38223815419498,103.845866601441
Yio Chu Kang Stadium,210 Ang Mo Kio Avenue 9 Singapore 569777,Stadium,North,569777,1.38318497276667,103.846355695316
Yio Chu Kang Swimming Complex,202 Ang Mo Kio Avenue 9 Singapore 569771,Swimming Pool,North,569771,1.38158782542429,103.847071042264
Yio Chu Kang Tennis Centre,200 Ang Mo Kio Avenue 9 Singapore 569770,N/A,North,569770,1.38223815419498,103.845866601441
Yio Chu Kang Tennis Centre - ActiveGroove Dance Zone,200 Ang Mo Kio Avenue 9 Singapore 569770,N/A,North,569770,1.39066617644636,103.747920705978
Yishun ActiveSG Gym,101 Yishun Avenue 1 Singapore 769130,Gym,North,769130,1.44416046705727,103.836857004782
Yishun Primary School Field,500 Yishun Ring Road Singapore 768679,Free To Play Field,North,768679,1.43315271543517,103.832942401086
Yishun Primary School Hall,500 Yishun Ring Road Singapore 768679,School Sport Hall,North,768679,1.43315271543517,103.832942401086
Yishun Secondary School Hall,4 Yishun Street 71 Singapore 768516,School Sport Hall,North,768516,1.43605975368804,103.829718690077
Yishun Sport Centre,101 Yishun Avenue 1 Singapore 769130,Sport Centre,North,769130,1.42415525542106,103.8409701987
Yishun Sport Centre - ActiveGroove Dance Zone,101 Yishun Avenue 1 Singapore 769130,N/A,North,769130,1.42991718038493,103.836421473445
Yishun Sport Hall,101 Yishun Avenue 1 Singapore 769130,Sport Hall,North,769130,1.4117869196196,103.831215898536
Yishun Stadium,103 Yishun Avenue 1 Singapore 769131,Stadium,North,769131,1.41265365921906,103.831820422795
Yishun Swimming Complex,351 Yishun Avenue 3 Singapore 769057,Swimming Pool,North,769057,1.42367796662016,103.83402079457
Yishun Town Secondary School Hall,6 Yishun Street 21 Singapore 768610,School Sport Hall,North,768610,1.43605975368804,103.829718690077
Yuan Ching Secondary School Field,103 Yuan Ching Road Singapore 618654,School Field,West,618654,1.40059309981824,103.902687385465
Yuan Ching Secondary School Hall,103 Yuan Ching Road Singapore 618654,School Sport Hall,West,618654,1.33002032220942,103.723952961648
Yuhua Secondary School Field,35 Jurong West Street 41 Singapore 649406,Free To Play Field,West,649406,1.30705061123433,103.886917922608
Yuhua Secondary School Hall,35 Jurong West Street 41 Singapore 649406,School Sport Hall,West,649406,1.30705061123433,103.886917922608
Yumin Primary School Hall,3 Tampines Street 21 Singapore 529393,School Sport Hall,East,529393,1.36693830877349,103.894114899795
Yuying Secondary School Hall,47 Hougang Avenue 1 Singapore 538884,School Sport Hall,Northeast,538884,1.30705061123433,103.886917922608
Zhonghua Primary School Hall,12 Serangoon Avenue 4 Singapore 556095,School Sport Hall,Northeast,556095,1.33820397704287,103.718089546664
