BusStopCode,RoadName,Description,Latitude,Longitude,BusServicesList,NumBusServices
10329,Tanglin Rd,Crescent Girls' Sch,1.29364671283262,103.81597460107542,"['132', '32', '122', '111']",4
10331,Henderson Rd,Bef Bt Merah Ctrl,1.28136306628839,103.81834423228644,"['176', '145', '272', '57', '175', '273']",6
10339,Henderson Rd,Aft Bt Merah Ctrl,1.28115835063292,103.81857250844853,"['176', '145', '272', '57', '145A', '175', '273']",7
10341,Henderson Rd,Opp Blk 116,1.28484639603431,103.82059301467888,"['145', '132', '16', '851', '16M']",5
10349,Henderson Rd,Blk 116,1.284977,103.821011,"['145', '132', '16', '145A', '851', '16M']",6
10351,Henderson Rd,Blk 95B,1.28675501760897,103.82204990181914,"['145', '132', '16', '851', '16M']",5
10359,Henderson Rd,Opp Blk 95C,1.28723833324362,103.82259298997768,"['145', '132', '16', '145A', '851', '16M']",6
10361,Lower Delta Rd,Cendex Ctr,1.28038092060065,103.82353025808791,"['195A', '131', '65', '195', '123', '855', '123M', '121']",8
10369,Lower Delta Rd,Opp Cendex Ctr,1.28037471151153,103.82387343933006,"['195A', '131', '65', '195', '123', '855', '123M', '121']",8
10371,Lower Delta Rd,Blk 129,1.28365072319387,103.824502653383,"['195A', '5', '14', '65', '195', '123', '123M', '120']",8
10379,Lower Delta Rd,Blk 25B,1.28373603376667,103.82489520929732,"['195A', '5', '14', '65', '195', '123', '123M', '120']",8
10381,Lower Delta Rd,Opp Blk 48,1.28906972186602,103.82559411728036,"['32', '122', '14', '65', '121', '64']",6
10389,Lower Delta Rd,Blk 48,1.28875832991208,103.82573455047122,"['32', '122', '14', '65', '121', '64']",6
1039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837408,"['7', '145', '51', '32', '197', '63A', '63', '7A', '851', '175', '61', '851e', '80']",13
10391,Kg Bahru Rd,Opp Melati Blk 2,1.27627105343758,103.8312563936613,"['166', '124', '143', '61']",4
10399,Kg Bahru Rd,Melati Blk 2,1.27588166292683,103.8301945420522,"['166', '124', '143', '61']",4
10401,Hoy Fatt Rd,Shriro Hse,1.28816729863,103.81167850401884,['63'],1
10409,Hoy Fatt Rd,Blk 50,1.28788221830638,103.81099317775704,"['63', '63A']",2
10411,Hoy Fatt Rd,Opp Blk 53,1.28912979528004,103.81280840030112,['63'],1
10419,Hoy Fatt Rd,Blk 52,1.28842024220748,103.81257549749508,"['63', '63A']",2
10421,Lengkok Bahru,Blk 63B,1.288964,103.814975,"['63', '139']",2
10429,Lengkok Bahru,Blk 54,1.2892779060127,103.814048054222,"['63', '139', '63A']",3
10431,Lengkok Bahru,ENABLING VILLAGE,1.287195,103.813984,['139'],1
10439,Lengkok Bahru,OPP ENABLING VILLAGE,1.28747956947939,103.81418936580334,['139'],1
10441,Lengkok Bahru,Opp Blk 44,1.28656898930199,103.8116061687213,['139'],1
10449,Lengkok Bahru,Blk 44,1.28666552495266,103.8119537804698,['139'],1
10451,Redhill Rd,Opp Blk 71,1.28762380319765,103.8172559639682,['63'],1
10459,Redhill Rd,Blk 72,1.28754723360397,103.81639920301684,"['63', '63A']",2
10461,Kay Siang Rd,Opp Blk 95,1.29680597432594,103.81169140516062,"['32', '122']",2
10469,Kay Siang Rd,Bef Margaret Dr,1.29668400003303,103.81216918970024,"['32', '122']",2
10471,Kay Siang Rd,Bef Tanglin Rd,1.29679993078344,103.81468220659576,"['32', '122']",2
10479,Kay Siang Rd,Aft Tanglin Rd,1.29668100002552,103.81547381025996,"['32', '122']",2
10481,Redhill Cl,Opp Blk 73,1.28784195484767,103.81797160113337,"['63', '63A']",2
10489,Redhill Cl,Blk 73,1.28811638897142,103.81778388900165,['63'],1
10499,Spooner Rd,KAMPONG BAHRU TER,1.27585400417691,103.83401000002084,"['174', '174e', '122', '12e', '12', '54', '190', '2', '120']",9
10501,Jln Bt Merah,Blk 104,1.28105845355429,103.82528065411316,"['167', '197', '961M', '961', '147', '75', '175', '196', '121']",9
10519,Delta Rd,Blk 4,1.291728,103.826122,"['970', '32', '65', '14', '139']",5
1059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457584,"['133', '33', '130', '12', '960e', '2', '960']",7
10599,Jln Rumah Tinggi,Opp Blk 36,1.28883435010664,103.80924997344988,"['63', '63A']",2
10651,Bt Merah Ctrl,Blk 161,1.28329993019059,103.81547665017668,"['153', '198', '123', '139', '16M']",5
10659,Bt Merah Ctrl,Blk 1003,1.28362333298689,103.81472833301792,"['153', '198', '123', '139', '16M']",5
11001,Ghim Moh Rd,Opposite Ghim Moh Terminal,1.311072,103.789159,"['100', '92', '111']",3
11009,Ghim Moh Rd,Ghim Moh Ter,1.3110673548964,103.78932237623977,"['100', '92', '111']",3
11019,Jln Bt Merah,Bef Blk 2,1.28679632523156,103.80565677295324,"['153', '197', '14', '961M', '961', '198', '147', '123', '855', '196']",10
11021,Queensway,Aft Queenstown NPC HQ,1.28941805603102,103.80228694398484,"['51', '153', '961M', '961', '198', '147', '123', '855', '61', '100', '93', '196']",12
