,ServiceNo,Operator,Direction,BusStopCode,RoadName,Description,Latitude,Longitude
22898,927,SMRT,1,45011,Woodlands Rd,Aft Yew Tee Flyover,1.3902154350718,103.75455779683573
22899,927,SMRT,1,45021,Woodlands Rd,Heavy Veh Pk,1.39385694401888,103.75383583300304
22900,927,SMRT,1,45031,Woodlands Rd,Yew Tee Ind Est,1.39623361717149,103.75421868895825
22901,927,SMRT,1,45051,Woodlands Rd,Da Di Glass,1.403385556,103.7560103
22902,927,SMRT,1,45041,Woodlands Rd,Thong Huat Bros Pte Ltd,1.40062703005588,103.7555616076716
22903,927,SMRT,1,48011,Mandai Rd,Opp Mandai Camp 2,1.41053605692452,103.77449402303928
22904,927,SMRT,1,45071,Woodlands Rd,Bef Mandai Rd,1.40955433592964,103.75568311864468
22905,927,SMRT,1,45221,Mandai Rd,Aft W'Lands Rd,1.41185472198007,103.75786055597196
22906,927,SMRT,1,45181,Mandai Rd,Opp Mandai CD Trg Village,1.41163371804971,103.76126994848111
22907,927,SMRT,1,45191,Mandai Rd,Opp Mandai Police Trg Camp,1.41064903489935,103.7634845917912
22908,927,SMRT,1,45201,Mandai Rd,Opp Police Tactical Trg Camp,1.41047253271791,103.76582403754684
22909,927,SMRT,1,45061,Woodlands Rd,Opp Mandai Est,1.40718111138275,103.75606300126093
22910,92A,SBST,1,18251,Science Pk Dr,Opp Reuters,1.29068138903164,103.7884536109736
22911,92A,SBST,1,18271,Science Pk Dr,Blk 85,1.28840699998743,103.78992778459764
22912,92A,SBST,1,18261,Science Pk Dr,Opp DSO Natl Laboratories,1.29015996757499,103.78933806183709
22913,92A,SBST,1,18241,Science Pk Dr,Opp Dnv Technology Ctr,1.29092304543197,103.78707861052064
22914,92A,SBST,1,18281,Science Pk Dr,Opp Normanton Pk/R'ford,1.28752556916883,103.7912122154174
22915,92A,SBST,1,15139,Sth Buona Vista Rd,Kent Ridge Stn Exit B,1.29241000003008,103.7845849999835
22916,92A,SBST,1,18129,Buona Vista Flyover,Ayer Rajah Ind Est,1.29776225378985,103.78570767644749
22917,92A,SBST,1,18149,Nth Buona Vista Rd,Essec Business Sch,1.30253001117245,103.78724143833315
22918,92A,SBST,1,11369,Nth Buona Vista Rd,Buona Vista Stn Exit D,1.3063259638605,103.79084827741468
22919,92A,SBST,1,15181,Science Pk Dr,Opp Ascent,1.29108496444522,103.78541356072029
22920,93,SBST,2,83101,Jln Eunos,Eunos Stn,1.32066709057479,103.90489836683336
22921,93,SBST,2,62091,Bartley Rd,Opp Gambir Ridge,1.34366730308769,103.8751907687792
22922,93,SBST,2,62101,Bartley Rd,Bef Upp Serangoon Rd,1.34324887065522,103.87308054810316
22923,93,SBST,2,66089,Braddell Rd,S'pore Power Trg Inst,1.34238715725246,103.86947751046722
