BusStopCode,RoadName,Description,Latitude,Longitude,BusServicesList,NumBusServices
11101,Farrer Rd,Empress Rd Mkt/FC,1.316149711,103.8059601,"['961', '961M', '48', '165', '93', '153', '855', '186', '174']",9
11109,Farrer Rd,Spanish Village,1.315524722,103.8057431,"['961', '961M', '48', '165', '93', '153', '855', '186', '174']",9
11111,Farrer Rd,Farrer Rd Stn Exit B,1.317801573,103.8077187,"['961', '961M', '48', '165', '93', '153', '855', '186', '174']",9
11119,Farrer Rd,Farrer Rd Stn Exit A,1.317478335,103.8078561,"['961', '961M', '48', '165', '93', '153', '855', '186', '174']",9
1112,Victoria St,Opp Bugis Stn Exit C,1.300092128,103.8552003,"['7', '851e', '960e', '980', '197', '851', '12', '960', '80', '175', '63', '12e']",12
1113,Victoria St,Bugis Stn Exit A,1.301172975,103.856114,"['61', '130', '32', '33', '2', '133', '145', '51']",8
11131,C'wealth Ave,Queens Condo,1.292884999,103.8070669,"['195', '111', '970', '145', '186', '51', '195A']",7
11139,C'wealth Ave,Blk 53A CP,1.293198611,103.8074469,"['970', '111', '145', '186', '51']",5
11141,C'wealth Ave,Queenstown Stn Exit A/D,1.294637051,103.8058251,"['195', '111', '970', '145', '186', '51', '195A']",7
11149,C'wealth Ave,Queenstown Stn Exit B/C,1.295064071,103.8059628,"['195', '111', '970', '145', '186', '51', '195A']",7
11151,C'wealth Ave,Blk 42,1.298635858,103.8024759,"['195', '111', '970', '145', '186', '51', '195A']",7
11159,C'wealth Ave,Aft Ch Of Our Saviour,1.298004408,103.8036266,"['195', '111', '970', '145', '186', '51', '195A']",7
11161,C'wealth Ave,C'Wealth Stn Exit A/D,1.302133056,103.7983908,"['61', '32', '111', '970', '105', '100', '196', '147', '198', '145']",10
11169,C'wealth Ave,C'Wealth Stn Exit B/C,1.302705,103.7983817,"['195', '122', '61', '32', '111', '970', '105', '100', '196', '147', '198', '145', '195A']",13
11171,C'wealth Ave,Opp Blk 7B,1.305356667,103.7947972,"['61', '32', '111', '970', '105', '100', '196', '147', '198', '145']",10
11179,C'wealth Ave,Blk 8,1.306275214,103.7942794,"['61', '32', '111', '970', '105', '100', '196', '147', '198', '145']",10
11181,C'wealth Ave,Opp Blk 43,1.307223333,103.7922764,"['91', '191', '200', '198', '74', '111', '105', '100', '196', '147', '200A', '185', '106', '95']",14
11189,C'wealth Ave,Blk 43,1.307401389,103.7925422,"['91', '191', '200', '32', '198', '74', '111', '105', '100', '196', '147', '145', '185', '106', '95']",15
1119,Victoria St,Aft Bugis Stn Exit C,1.299604109,103.8551293,"['130', '960e', '33', '2', '133', '12', '960', '12e']",8
11191,C'wealth Ave West,The Star Vista,1.308016408,103.7883732,"['14', '105', '147', '185', '106']",5
11199,C'wealth Ave West,Blk 15,1.308379707,103.7884315,"['14', '105', '147', '185', '106']",5
11201,Holland Rd,CSC Dempsey Clubhse,1.306926429,103.8118645,"['7', '75', '123', '105', '106', '77', '174']",7
11209,Holland Rd,Opp Peirce Rd,1.308172808,103.8103835,"['7', '75', '7B', '123', '105', '106', '77', '174']",8
1121,Victoria St,Stamford Pr Sch,1.303938097,103.85868,"['61', '130', '7', '32', '33', '197', '133', '2', '12', '145', '80', '175', '51', '63']",14
11211,Holland Rd,Aft Peirce Rd,1.308387799,103.8093952,"['7', '75', '123', '105', '106', '77', '174']",7
11219,Holland Rd,Great Eastern Mansions,1.309885061,103.8071641,"['7', '75', '7B', '123', '105', '106', '77', '174']",8
11221,Holland Rd,Lien Twrs,1.310019,103.805506,"['7', '75', '123', '105', '106', '77', '174']",7
11229,Holland Rd,Sommerville Pk,1.310600659,103.8052254,"['7', '75', '7B', '123', '105', '106', '77', '174']",8
11231,Holland Rd,Aft Hyll on Holland,1.311153163,103.8011992,"['7', '75', '48', '165', '106', '77']",6
11239,Holland Rd,Fairlodge,1.311528574,103.8016552,"['7', '75', '48', '7B', '165', '106', '77']",7
11259,Holland Dr,Opp Blk 21,1.311198879,103.79274,['95'],1
11261,Holland Rd,Holland Village,1.312231684,103.7944462,"['61', '7', '75', '165', '970', '77', '95']",7
11269,Holland Rd,Opp Holland Village,1.312561126,103.794538,"['61', '7', '75', '7B', '165', '970', '77']",7
11271,Holland Rd,Aft East Sussex Lane,1.314734444,103.7900842,"['61', '7', '75', '165', '970', '77']",6
11279,Holland Rd,Aft Coronation Rd West,1.314668789,103.7906926,"['61', '7', '75', '7B', '165', '970', '77']",7
11281,Holland Rd,Aft Tan Boon Chong Ave,1.316226944,103.7885219,"['61', '7', '75', '165']",4
11289,Holland Rd,Opp Tan Boon Chong Ave,1.316188914,103.7890434,"['61', '7', '75', '7B', '165', '970', '77']",7
1129,Victoria St,Opp Stamford Pr Sch,1.303502692,103.8586453,"['33', '2', '133', '12']",4
11291,Holland Rd,Cold Storage Jelita,1.317927778,103.7859233,"['61', '7', '75', '165', '156']",5
11299,Holland Rd,Opp Cold Storage Jelita,1.318269756,103.7855884,"['61', '7', '75', '7B', '165', '156']",6
11301,Sixth Ave,Hse No. 578,1.318039721,103.7879007,"['156', '77', '970']",3
11309,Sixth Ave,Hse No. 589,1.318624439,103.7884299,"['156', '77', '970']",3
11311,Sixth Ave,Hse No. 532,1.319896389,103.7891869,"['156', '77', '970']",3
11319,Sixth Ave,Opp Hse No. 516,1.32030638,103.7895997,"['156', '77', '970']",3
11321,Sixth Ave,Opp Regent Villa,1.321231389,103.7901036,"['156', '77', '970']",3
11329,Sixth Ave,Regent Villa,1.322361397,103.7909809,"['156', '77', '970']",3
11331,Sixth Ave,Opp Dynasty Gdn II,1.323209188,103.7914467,"['156', '77', '970']",3
11339,Sixth Ave,Dynasty Lodge,1.323986389,103.7920472,"['156', '77', '970']",3
11341,Sixth Ave,Garlick Ville,1.325515062,103.7928279,"['156', '77', '970']",3
11349,Sixth Ave,Opp Garlick Ville,1.325628,103.79304,"['156', '77', '970']",3
11351,Ghim Moh Rd,Blk 13,1.309345712,103.7894511,"['100', '92', '111']",3
11359,Ghim Moh Rd,Opp Blk 13,1.309310226,103.7896861,"['100', '92', '111']",3
11361,Nth Buona Vista Rd,Buona Vista Stn Exit C,1.306496986,103.7905812,"['14', '191', '200', '95B', '74', '92', '196', '198', '91', '95']",10
11369,Nth Buona Vista Rd,Buona Vista Stn Exit D,1.306325964,103.7908483,"['14', '191', '200', '74', '92', '196', '200A', '198', '91', '92A', '95']",11
11379,Nth Buona Vista Rd,Buona Vista Ter,1.309170025,103.7923632,"['91', '48', '191', '200', '32', '74', '200A', '185', '145']",9
11381,Holland Dr,Blk 10A,1.308411379,103.7932829,"['48', '191', '200', '74', '200A', '185', '91', '95']",8
11389,Holland Dr,Buona Vista CC,1.30906501,103.7929322,"['91', '48', '191', '200', '32', '74', '185', '145']",8
1139,Nth Bridge Rd,Bugis Stn/Parkview Sq,1.300330579,103.8571608,"['61', '7', '851e', '32', '63A', '197', '851', '7A', '145', '80', '175', '51', '63']",13
11401,Holland Ave,Holland V Stn/Blk12,1.309067222,103.7950744,"['61', '48', '970', '106', '95']",5
11409,Holland Ave,Blk 9,1.307644167,103.7943258,"['106', '61', '970']",3
11419,Holland Ave,Holland V Stn Exit A,1.311029814,103.796044,"['106', '61', '48', '970']",4
11429,C'wealth Dr,Opp Blk 115B,1.30454,103.7983633,"['195', '122', '195A']",3
11439,C'wealth Dr,Blk 92,1.306064722,103.8002978,"['195', '122', '195A']",3
11441,C'wealth Dr,Blk 58,1.297804167,103.7975406,['61'],1
11449,C'wealth Dr,Blk 37B,1.298405278,103.7976033,['61'],1
11451,C'wealth Dr,Blk 72,1.300349722,103.7970728,['61'],1
11459,C'wealth Dr,Blk 50,1.300970556,103.7968519,['61'],1
11469,Margaret Dr,Queensway Sec Sch,1.301135034,103.8018858,"['122', '32']",2
11471,Margaret Dr,Opp The Fisherman Ch,1.299518926,103.8031516,"['122', '32']",2
11481,Margaret Dr,Queenstown Lib,1.298115189,103.8060054,"['122', '32']",2
11489,Margaret Dr,Blk 30,1.298817,103.804395,"['122', '32']",2
11491,Margaret Dr,Opp Queenstown Pr Sch,1.297102028,103.8076365,"['122', '32']",2
11499,Margaret Dr,Queenstown Pr Sch,1.296850536,103.8078866,"['122', '32']",2
11511,Alexandra Rd,Alexandra Hosp,1.285946874,103.8025188,"['195', '33A', '14', '61', '33', '120', '93', '100', '197', '51', '195A']",11
11519,Alexandra Rd,Opp Queensway Shop Ctr,1.286657422,103.8033413,"['195', '61', '14', '33', '120', '93', '100', '197', '51', '195A']",10
11521,Alexandra Rd,Anchorpoint,1.28857101,103.80543,"['195', '33A', '33', '120', '64', '195A']",6
11529,Alexandra Rd,Bef IKEA Ind Bldg,1.289031206,103.8060909,"['195', '33', '195A', '120']",4
11531,Alexandra Rd,Opp Lea Hin Hardware Fty,1.291088333,103.8075308,"['195', '33A', '33', '120', '64', '195A']",6
11539,Alexandra Rd,Lea Hin Hardware Fty,1.291170495,103.8078618,"['195', '33', '195A', '120']",4
11541,Stirling Rd,Opp Queens,1.29235984,103.805785,['64'],1
11551,Stirling Rd,Tiong Ghee Tp,1.291267031,103.804096,['64'],1
11561,Stirling Rd,Blk 166,1.29107396,103.8024759,['64'],1
11579,Mei Ling St,Blk 158,1.292564891,103.8030332,['64'],1
11589,Mei Ling St,Blk 157,1.292991881,103.8040052,['64'],1
11599,Mei Ling St,Blk 153,1.294208056,103.8031489,['64'],1
11609,Mei Chin Rd,Blk 163,1.291889722,103.8021219,['64'],1
