Station Name,Exit Code,Latitude,Longitude
EXPO MRT STATION,Exit B,1.33525294423695,103.962075287596
EXPO MRT STATION,Exit E,1.33486331350548,103.962123376874
EXPO MRT STATION,Exit F,1.33471194824107,103.96286574628
EXPO MRT STATION,Exit D,1.33483488834327,103.963100681762
EXPO MRT STATION,Exit C,1.33595097171569,103.962161021864
EXPO MRT STATION,Exit G,1.33501932038682,103.963049007432
EXPO MRT STATION,Exit A,1.33532172433891,103.961942958226
FAJAR LRT STATION,Exit A,1.38446507117965,103.770675518445
FARMWAY LRT STATION,Exit A,1.39720034457508,103.889407447882
FARMWAY LRT STATION,Exit B,1.39713347750584,103.889115016848
FARRER PARK MRT STATION,Exit I,1.3117658772962,103.855806657255
FARRER PARK MRT STATION,Exit D,1.31245360639306,103.852974635237
FARRER PARK MRT STATION,Exit C,1.31191067869135,103.853266824822
FARRER PARK MRT STATION,Exit B,1.3135439659757,103.854763767756
FARRER PARK MRT STATION,Exit G,1.31225903641299,103.855500982372
FARRER PARK MRT STATION,Exit H,1.31188350806091,103.856098852115
FARRER PARK MRT STATION,Exit E,1.31188353723816,103.85265097068
FARRER PARK MRT STATION,Exit F,1.31142204648133,103.853199391142
FARRER PARK MRT STATION,Exit A,1.31232690903703,103.854772747378
FARRER ROAD MRT STATION,Exit A,1.31749372589551,103.807965230708
FARRER ROAD MRT STATION,Exit B,1.31755201617223,103.807389234558
FERNVALE LRT STATION,Exit A,1.3921582676261,103.876261653892
FORT CANNING MRT STATION,Exit B,1.29283027594572,103.844425031565
FORT CANNING MRT STATION,Exit A,1.29240609557825,103.844170034197
GARDENS BY THE BAY MRT STATION,Exit 3,1.27830343996812,103.867154122142
GARDENS BY THE BAY MRT STATION,Exit 2,1.27882622333397,103.867968767276
GARDENS BY THE BAY MRT STATION,Exit 1,1.28037075595564,103.868586734111
GEYLANG BAHRU MRT STATION,Exit A,1.32156169874025,103.871555607569
GEYLANG BAHRU MRT STATION,Exit B,1.32110911579532,103.871794271427
GREAT WORLD MRT STATION,Exit 5,1.29655259456474,103.833405504371
GREAT WORLD MRT STATION,Exit 6,1.29318434464758,103.832841014649
GREAT WORLD MRT STATION,Exit 2,1.2928694999213,103.832627103189
GREAT WORLD MRT STATION,Exit 3,1.29381997655443,103.832734059176
GREAT WORLD MRT STATION,Exit 4,1.29602983278925,103.833037100577
GREAT WORLD MRT STATION,Exit 1,1.29332097607264,103.833904631248
GUL CIRCLE MRT STATION,Exit A,1.31903226656851,103.660444143859
GUL CIRCLE MRT STATION,Exit B,1.31883718313345,103.659434945517
HARBOURFRONT MRT STATION,Exit B,1.2651546823432,103.820508811132
HARBOURFRONT MRT STATION,Exit A,1.26508503461184,103.822509807219
HARBOURFRONT MRT STATION,Exit A,1.26601318319783,103.820468350461
HARBOURFRONT MRT STATION,Exit D,1.26597925499591,103.821398857154
HARBOURFRONT MRT STATION,Exit E,1.26497195959122,103.8215802917
HARBOURFRONT MRT STATION,Exit C,1.26525988373469,103.822531651626
HAVELOCK MRT STATION,Exit 1,1.28667674481792,103.833839753358
HAVELOCK MRT STATION,Exit 3,1.28884356335354,103.833369520278
HAVELOCK MRT STATION,Exit 2,1.28694406698765,103.833495118232
HAVELOCK MRT STATION,Exit 5,1.28956096428231,103.833961901637
HAVELOCK MRT STATION,Exit 4,1.29016689416429,103.834003496172
HAW PAR VILLA MRT STATION,Exit A,1.28305527354176,103.782006397072
HILLVIEW MRT STATION,Exit A,1.36247423794507,103.767688290103
HILLVIEW MRT STATION,Exit B,1.36208433991773,103.767108459936
HOLLAND VILLAGE MRT STATION,Exit A,1.31122026577719,103.796139102483
HOLLAND VILLAGE MRT STATION,Exit B,1.31106948365962,103.79576910839
HOLLAND VILLAGE MRT STATION,Exit C,1.31071120133272,103.795753770113
HOUGANG MRT STATION,Exit B,1.37194611655273,103.892972400972
HOUGANG MRT STATION,Exit C,1.37214183483289,103.891975029135
HOUGANG MRT STATION,Exit A,1.37020857826092,103.892445723159
JALAN BESAR MRT STATION,Exit B,1.30546727989327,103.855244564615
JALAN BESAR MRT STATION,Exit A,1.30488989412929,103.855296125414
JELAPANG LRT STATION,Exit A,1.38683269953093,103.764676792845
JOO KOON MRT STATION,Exit B,1.32795611143786,103.678644077077
JOO KOON MRT STATION,Exit A,1.32750208445865,103.678520709011
JURONG EAST MRT STATION,Exit C,1.33274868462584,103.742762081653
JURONG EAST MRT STATION,Exit B,1.33252623564817,103.742640162983
JURONG EAST MRT STATION,Exit D,1.33358133108919,103.742298193307
JURONG EAST MRT STATION,Exit A,1.33398960393819,103.741759898309
KADALOOR LRT STATION,Exit A,1.39980926315018,103.916387458482
KADALOOR LRT STATION,Exit B,1.39941146718039,103.916517130328
KAKI BUKIT MRT STATION,Exit B,1.33492189034272,103.909146276263
KAKI BUKIT MRT STATION,Exit A,1.33531120636956,103.909405098626
KALLANG MRT STATION,Exit A,1.31154048297553,103.871730564168
KALLANG MRT STATION,Exit B,1.3117817705438,103.871587075861
KANGKAR LRT STATION,Exit B,1.38376520316725,103.902276368029
KANGKAR LRT STATION,Exit A,1.38407450287348,103.902147558141
KEAT HONG LRT STATION,Exit A,1.37846496701683,103.749226841606
KEMBANGAN MRT STATION,Exit B,1.32115210805545,103.912899288746
KEMBANGAN MRT STATION,Exit A,1.32092376028202,103.912941079407
KENT RIDGE MRT STATION,Exit B,1.29242811590855,103.784809631882
KENT RIDGE MRT STATION,Exit C,1.29398478516701,103.784490451682
KENT RIDGE MRT STATION,Exit D,1.29321880284117,103.784534656639
KENT RIDGE MRT STATION,Exit A,1.29431588700949,103.784465895365
KHATIB MRT STATION,Exit D,1.41786903711686,103.833231020039
KHATIB MRT STATION,Exit B,1.41714341792972,103.832706667743
KHATIB MRT STATION,Exit A,1.41705821242698,103.83292241701
KHATIB MRT STATION,Exit C,1.41754470685258,103.832886913694
KING ALBERT PARK MRT STATION,Exit B,1.33597604551556,103.784561584781
KING ALBERT PARK MRT STATION,Exit A,1.33553707766976,103.783030260215
KOVAN MRT STATION,Exit A,1.35970758870125,103.884307428636
KOVAN MRT STATION,Exit B,1.36020562306327,103.884721732122
KOVAN MRT STATION,Exit C,1.36002801014446,103.885450578
KRANJI MRT STATION,Exit C,1.42512594915704,103.761754685561
KRANJI MRT STATION,Exit A,1.42473917121754,103.762018515591
KRANJI MRT STATION,Exit B,1.42485264466106,103.761940606096
KRANJI MRT STATION,Exit D,1.42512495935501,103.762496770529
KUPANG LRT STATION,Exit A,1.39828419776009,103.881139169799
KUPANG LRT STATION,Exit B,1.39815879147241,103.881137936207
LABRADOR PARK MRT STATION,Exit A,1.27210695805434,103.802355553663
LAKESIDE MRT STATION,Exit A,1.3439833412622,103.720448529393
LAKESIDE MRT STATION,Exit B,1.34408145751948,103.721075412743
LAKESIDE MRT STATION,Exit C,1.34430416996866,103.721712827003
LAVENDER MRT STATION,Exit A,1.30716946047274,103.863043062903
LAVENDER MRT STATION,Exit B,1.30761853913167,103.862650316623
LAYAR LRT STATION,Exit B,1.39214453741467,103.880142799143
LAYAR LRT STATION,Exit A,1.39202617213173,103.880159730519
