name,street_name,postal_code,block_number,CC / PassionWave,longitude,latitude
ACE The Place CC,Woodlands Avenue 1,739069,120,CC,103.792240772323,1.42749277602918
Aljunied CC,Hougang Avenue 1,530110,110,CC,103.889546235205,1.35465808310012
Anchorvale CC,Anchorvale Road,544965,59,CC,103.886665684716,1.39712791773438
Ang Mo Kio CC,Ang Mo Kio Avenue 1,569976,795,CC,103.840668130336,1.36683348076669
Ayer Rajah CC,Pandan Gardens,609335,150,CC,103.747540191939,1.3207993044286
Bedok CC,New Upper Changi Road,467352,850,CC,103.936047838803,1.32424659842593
Bidadari CC (U/C),Bidadari Park Drive,367803,11,CC,103.871670015649,1.33873065408448
Bishan CC,Bishan Street 13,579799,51,CC,103.850509275687,1.34951161831951
Boon Lay CC,Boon Lay Place,649882,10,CC,103.711380186479,1.34832322532679
Braddell Heights CC (Pending U/C),Serangoon Avenue 2,556129,50,CC,103.8703678757,1.35161224552733
Buangkok CC (U/C),Compassvale Bow,544692,70,CC,103.892190513977,1.38343476250513
Bukit Batok CC (Pending U/C),Bukit Batok Central,659959,21,CC,103.747514398535,1.35019080604781
Bukit Batok East CC (U/C),Bukit Batok East Avenue 4,659841,23,CC,103.758195830417,1.34898738780681
Bukit Merah CC,Jalan Bukit Merah,159465,4000,CC,103.815828543116,1.28525426592061
Bukit Panjang CC,Pending Road,678295,8,CC,103.77055880601,1.37645074924612
Bukit Timah CC (Pending U/C),Toh Yi Drive,596569,20,CC,103.771609614654,1.34050085979547
Buona Vista CC,Holland Drive,270036,36,CC,103.792619417011,1.30925871460611
Cairnhill CC,Anthony Road,229944,1,CC,103.838864880096,1.3104343381511
Canberra CC,Sembawang Crescent,757632,2,CC,103.819473739147,1.44504412683036
