,mall_name,address,latitude,longitude
195,TANGLIN MALL,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,1.30484344196915,103.823852794772
197,TANGLIN SHOPPING CENTRE,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,1.28893477974497,103.805607779399
198,TANJONG PAGAR CENTRE,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,1.27658360696843,103.845936303594
199,TECK WHYE SHOPPING CENTRE,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,1.38004752975397,103.752483841199
200,TEKKA CENTRE,663 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210663,1.30568031708633,103.850857724971
201,THE ADELPHI,1 COLEMAN STREET THE ADELPHI SINGAPORE 179803,1.29118503658447,103.851184338699
202,THE CATHAY,2 HANDY ROAD THE CATHAY SINGAPORE 229233,1.29920609145429,103.847826817241
203,THE CENTREPOINT,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,1.30197836876806,103.839759023144
205,THE GOLDEN MILE,5001 BEACH ROAD THE GOLDEN MILE SINGAPORE 199588,1.30274220636743,103.86510408137
206,THE MAJESTIC,80 EU TONG SEN STREET THE MAJESTIC SINGAPORE 059810,1.28471077015851,103.843197416212
207,THE POIZ,51 UPPER SERANGOON ROAD THE POIZ CENTRE SINGAPORE 347697,1.33149708073624,103.86821402533
212,THE SHOPPES AT MARINA BAY SANDS,2 BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018972,1.28423496027027,103.858982282698
215,THE STAR VISTA,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,1.30697044038323,103.788420274115
217,THE WOODLEIGH MALL,11 BIDADARI PARK DRIVE THE WOODLEIGH MALL SINGAPORE 367803,1.33873066388191,103.871670008192
218,THOMSON PLAZA,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,1.35466902496424,103.830919782333
219,THOMSON V,9 SIN MING ROAD THOMSON V ONE SINGAPORE 575630,1.35319495337208,103.835564729862
220,TIONG BAHRU PLAZA,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,1.28645889472825,103.827015256194
221,TOA PAYOH MALL,530 LORONG 6 TOA PAYOH TOA PAYOH BUS INTERCHANGE SINGAPORE 310530,1.33206903310283,103.847133555683
222,UNITED SQUARE,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591,1.31719450988559,103.843611443038
223,UPPER SERANGOON SHOPPING CENTRE,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,1.35348082277147,103.878828134896
224,VELOCITY@NOVENA SQUARE,238 THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307683,1.31978949204523,103.844033569199
225,VISTA POINT,548 WOODLANDS DRIVE 44 VISTA POINT SINGAPORE 730548,1.43089714603015,103.793927429476
226,VIVOCITY,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585,1.26429316783973,103.82230469365
